reviewer,rate,review,movie_title
다솜땅,4.0,"이 분위기, 이 느와르, 이 고독함, 이 변화무쌍한 마음..어쩔꺼야!!!황정민으로 시작해 설경구에 이르기까지..전도연!! 여왕의 귀환!!#23.4.7 (303)",길복순
류월,3.0,사람 죽이는 일보다 어려운 사람 키우는 일.,길복순
진태,4.0,후반 5분을 덜어냈으면 사람들은 좋아했겠지만아마 감독이 자신을 용서하기 싫었을거야.아마도?,길복순
난아직오타쿠가되기엔부족하니까노력할게,0.5,하.....,길복순
김만두,0.5,이정도로는 오타쿠를 울릴 수 없다!오타쿠를 얕보지마라,길복순
Goodway,1.0,넷플릭스 오리지널의 늪에서 빠져나오지 못한 망작들의공식을 그대로 답습하는 안타까운 길복순,길복순
psyche,5.0,"한 남자의 반 평생을 건 짝사랑 이야기. 그리고 못다한 고백.그는 알았다. 자신의 손으로 그녀를 결코 죽일 수 없고, 그녀 없는 세상은 지옥이라 살아갈 수도 없다는 것을. 사랑하는 여자의 손에 죽는다. 그리고 마지막 선물은, 그녀가 가장 사랑하는 이와 그녀 사이의 벽을 허물어주는 것.불한당 때도 그랬고, 난 변성현 식의 사랑 고백이 맘에 든다.스포일러가 있어요!! 보기",길복순
곤조,2.0,바닥이 여실히 드러난다.,길복순
팬서,2.5,스타일과 동력을 만들어내는 건 캐릭터가 아닌 배우들의 안간힘.,길복순
wonst,2.5,킬러영화는 주인공이든 최종보스든 끝내주게 멋있는 캐릭터 하나는 있어야 한다고 생각한다. 눈길가는 인물의 부재 탓인지 전체적으로 밍숭맹숭. 좋은 재료 골라다 넣으란 대로 넣고 양념까지 열심히 만들었는데 ‘이게 뭐지’ 싶은 맛. 그나마 “사실 걔 니딸이야..” 이건 없어서 다행,길복순
희정뚝,3.0,영화가 마치 맛 좋은 파란색 떡볶이를 먹는듯하다.,길복순
라이너스,2.5,"배우 믿고, 폼 잡으려면 이야기가 재미있어야지. 고개를 몇 번이나 갸웃하게 만들 정도로 영화 자체가 힘이 없다.-무언가 큰 착각(애 키우며, 사람 죽이는… 싱글맘 킬러 이야기야… 궁금하지 않아?)을 하고서 얄팍하게 기획된 껍데기만 있는 결과물.-자신이 원하는 세팅으로 찍을 수 있는 위치의 감독이 되었는데… 액션을 포함한 장면 구성을 보면 ‘연출력’도 의심스럽다.",길복순
쥬 !!,1.5,전도연 원탑 영화를 어떻게 이렇게밖에 못 만들었지...? 이게 최선이였나요 변성현 감독,길복순
유권민,4.0,불한당과 킹메이커 때도 인상적이었는데 이 작품을 본 후 변성현을 한국의 최고 스타일리스트로 꼽고싶다.킹스맨과 존윅 등의 오마쥬(우라까이 아니라고 생각하는 맞다는 의견도 존중한다)도 적절하고 적당했다.참 드럽게 많이먹은 음식인데 안 질리게 잘 만들었다.전도연은 여전히 기가막힌다.,길복순
세리,0.5,시대를 따라가려는 노력이 느껴지는 메시지에 가산점 5점액션 원툴 영화에서 합 맞춰서 하는 액션인 게 실시간으로 눈에 보이는 점 마이너스 3점영화적인 완성도가 최악인 점 마이너스 3점도합 마이너스 1점에 전산오류로 0.5점 드립니다.,길복순
Jin,1.0,"아무리 악인이지만 친부가 목매달린 의자를 걷어차서 죽이고 미소짓는 딸.남고교생 목에 가위를 찔러놓고 다시 만났을 때 상큼하게 스마일을 날리는 여고생.해외 킬러 영화에서도 자신들이 인간 밑바닥인건 인지하고 있는데, 이 영화의 킬러들은 사람 죽여서 먹고 사는 것이 너무나 당당하며, 감독은 성평등과 동성연애관을 구분도 못하고 있다. 감독의 지난 영화들에서 허세와 겉멋을 사랑함을 느끼고는 있었지만, 사상과 개념에 대한 이해까지 바닥인 것은 이제야 알게되었다.액션과 스토리가 진부함은 말할 것도 없다.",길복순
Lilith,1.0,후져,길복순
오쿠마,0.5,스타일리쉬한척 웩ㅠㅈㄴ올드갬성 짜침,길복순
🐈🐈,2.0,좋아하는 배우 진짜 많이 나오는데 변성현의 모든 것이 너무 싫어서 배우까지 싫어질 지경이었음 보다가 토할 뻔,길복순
johnpaulmacqueen,1.0,오기로 찍어봐도 아닌건 아니지…진짜 여자 킬러가 있다면 도끼들고 감독 찾아갈듯…짧은 치마 입혀놓고 옆선 찢는 만큼 고민하고 영화찍으면 전도연이 아니라 누가 와도 나가리야…킬러와 독립운동가를…에휴 말을 말자…,길복순
시무리우리형,3.5,빨간펜 선생님 전도연 완전섹시!견문색 패기를 지녔음에도딸의 패왕색 패기는 이길수 없구나,길복순
끄루루러러워러루룹룩!,0.5,박찬욱이 대단한 감독이구나,길복순
벌써아침인가,1.5,설득력이 전혀 없고 딸내미는 왜 나와서 분량만 잡아 먹는지 이해할 수 없다.,길복순
leo,3.0,아직도 날카롭게 건재함을 증명이런 겉멋든 장르영화를 보고 싶었다,길복순
팁트로닉,1.0,전도연에게 촌스러움 묻히지 마라.,길복순
BIGMAC_bro,3.5,"한국판 존윅 + 킬빌, 첫장면은 전도연의 <하녀> 느낌도전도연 액션 하나만으로도 볼만한 값어치 충분.워킹맘의 비애를 비유적으로 표현한 것 같기도-액션씬이 살짝 아쉽다.(임시저장)",길복순
134340,3.0,일본도는 이해하는데그 만화책에나 나오는 칼 좀 쓰지마...,길복순
𝐩𝐢𝐜𝐧𝐢𝐜𝐤𝐞𝐫,1.0,"왜 이렇게 화가 나지 🤬자, 모든 것이 다 별로지만 (정말 정말 모-든 것이 다!)다른 건 일단 차치한다 하더라도 액션이란 장르를 메인으로 걸어 놓았으면 그거라도 잘 했어야 한다육두문자 동원되는 대참사가 일어나기 전에코멘트는 이정도 해두는 걸로.... 🤢🤐기대가 컸기에 실망도 더 큰 거겠지뭘 봐야 해장이 될까...... 😶",길복순
Gooson,2.5,부끄럽다고 여기던 것들을 죽이고 나면 잘 지낼수 있는 나로 성장한다.,길복순
최형우,3.0,"많은 재주를 부렸지만, 결국은 평범한 뼈대그래도 눈길을 붙들기에는 충분했던 영화.(2023.03.31.)",길복순
nolabel,0.5,넷플릭스 변성현한테 약점잡혔냐? 돈을 막 버리네,길복순
아림,0.5,어디서 본 건 많아가지고,길복순
하하뷘,3.5,"잘하던거 하시지액션 반 멜로 반, 반반 그거 잘하시면서엄마 빼고 격정 넣었으면 불한당처럼 절절 맸을텐데",길복순
Random cul,1.5,액션을 보여주기에는 화려함에 비해 느릿느릿모성애를 보여주기에는 공감대없는 뜬금 자녀고민스토리를 보여주기에는 자극적으로 가는듯 뻔하게 쭈욱결말도 참....예고편에서 보여준 후배와 1대1씬과 도입 사무라이와의 1대1은 그래도 눈길이 가긴했다. 그게 끝.,길복순
벵말리아,2.0,연기를 잘 한다고 반드시 액션 연기까지 잘 할 수는 없다.,길복순
초밥학살자,0.5,지랄들을 한다 지랄들을 해.,길복순
타이거즈,4.0,결국 마음이 흔들린자 죽음을 피할수 없다.,길복순
TERU,2.0,﻿Good : 다양하게 논의될 수 있는 이야기의 층위Caution : 주인공이 변심한 계기나 액션의 쾌감이 부족하다.﻿,길복순
한창성,2.5,"죽여주는 스타일, 밋밋한 액션, 너무긴 러닝 타임. 그래도 이런 영화가 많아졌으면 좋겠다.",길복순
Lemonia,2.0,"액션 영화는 액션 영화로서의 본분에 충실하는 것이 가장 먼저다. 합을 잘 맞추어 통쾌하고 화려하면서도 깔끔한 연출의 액션, 명확한 구도하에 이루어지는 액션은 영화의 많은 단점을 상쇄시켜줄 수 있다. 반면, 그 기본적 전제가 충족되지 않는다면, 다른 요소에 아무리 공을 들였더라도 좋은 평가를 받기 어렵다. 살인과 액션을 소재로 하지만 스펙터클한 액션 스릴러보단 잔잔한 드라마의 성향이 강하다. 죄책감 없이 살인을 일삼는 킬러와 생명을 탄생시키고 지켜내려는 엄마의 위치에서 두 가지 모순을 품은 인간의 잔혹함과 생명의 의미로까지 주제가 뻗어나갈 수 있겠지만, 이 영화는 한마디로 모호하다.",길복순
5jp,3.0,모성애 vs 사춘기,길복순
스탕달,2.0,망나니가 칼춤 한번 춰본것 같은데영 별로 감흥이 없다.<킬복순>이 <킬빌> 정도 수준이 되려면우선 작가가 좀 더 재미있는 각본을쓸줄 알아야 할 것 같다.이건 뭐 스토리가 너무 밋밋하니...,길복순
이도형,1.5,감독이 뭘 보고 영향 받은진 알겠지만 좀 과하네,길복순
Uncle Roh,1.0,전도연의 일본어에 환장하고황정민의 사투리엔 아주 진저리가 났다질리도록 활성화된 그의 한국어 대사보다일본 야쿠자들의 말투로신선함을 주려했던 설정인 것 같았지만일본어 일타 강사 섭외에 실패한 듯이런 중2 외국어 영역이라니.,길복순
김동하,0.5,유치함 오글거림12세이용가 수준20분 보고 끔,길복순
Niknik,3.0,오타니가 미친놈 맞네.,길복순
방갑수,3.0,아 그토록 나오던 구린 여성 킬러 영화 보란듯이 변성현이 기깔나는 거 뽑아내겠지.. 하 새끼야 그 장르 그렇게 하는 거 아니야 담당하는 변성현,길복순
CINESON,0.5,나쁜영화. 1. 범죄자 미화 2. 김구.안중근을 단순 살인자로 모는 역사의식 3.청소넌들에게 잘못된 폭력과 성의식을 시도하게 할 우려등 영화를 영화로 보게 못하는 해악성.영화자체의 모양새는 학생이 킬빌.존윅을 따라 만든듯한 공간과 액션연출. 안드로메다 개연성을 보여주는 시나리오. 변감독은 불한당에 이어 쉽고 빠르고 게으르고 나태한 타영화  복사 붙여넣기 시퀀스 만들기ㅡ 킬빌.존윅.쿵푸허슬.킹스맨등도대체 이런 무의식 아니 나쁜 의식을 가진 영화에 출연한 스타배우들. 요즘 한국영화를 욕하고 등돌리게 하는 모든 요소를 가진 종합선물세트. 투자자들 당신들이 길복순의 A급 작업대상이 아닐런지,길복순
Steve,3.5,"어떤 면에서 보면말, 글을 무기로 하는,주위에 킬러가 너무 많아...영화에서 처럼회사 동료 관계란...헛 웃음으로 가려진얇팍하고, 투명한 의리 정도만 있을 뿐지들도 살려고...그때 왜 그냥 넘어가지 않았을까최소 나에게 떳떳하고 싶어서타협하지 않았음을...# 엄마/주부의 직장생활 고난기# 예전 미쓰백의 아이가 너무 잘 자랐구나",길복순
최구궁,0.5,개같은 영화,길복순
세훈,2.0,"나에겐 홍대 같았다. 유행하는 건 모두 있지만 좋아하거나 맘에 들거나 혹은 관심 없기까지한..최근 들어 차세대라고 불리는 배우들의 행보가 의아할 때가 잦다. 처음 몇 번은 그러려니 했는데 이제 와 보니 그게 실력인 것 같다. 캐릭터가 뜬금없거나 연기가 이상한, 예컨대 카지노의 정팔. 길복순의 차민희같은. 그게 매우 아쉽다.",길복순
해묘,3.0,별 스토리가 없어도 130분이 지루하진 않았다.다른 영화들의 액션 연출을 그대로 갖다쓴 건  매우 아쉬운 부분. (혹시 오마주라면 가히 역대급...),길복순
